,aps_id
0,90111675
1,124883168
2,124750949
3,90136153
4,90158494
5,90160348
6,124752947
7,90122777
8,124760150
9,90368924
10,90186220
11,90146217
12,90100780
13,90125066
14,124880904
15,90199585
16,90093954
17,90487133
18,90174459
19,90137985
20,90123498
21,124899268
22,124757105
23,90145788
24,90103226
25,90163509
26,90162709
27,90150514
28,90141123
29,90110828
30,90097252
31,124744243
32,90143558
33,124896103
34,90082773
35,90169459
36,90153166
37,90448053
38,90117576
39,124754287
40,90183272
41,90190154
42,90166737
43,90130327
44,89989425
45,90081388
46,90166595
47,124905458
48,90569669
49,90383359
50,90388179
51,124738350
52,90129961
53,124750210
54,90269467
55,90144514
56,90168010
57,124883690
58,90470049
59,90454535
60,90147330
61,90138559
62,90115074
63,90298912
64,90178377
65,124747953
66,124751294
67,124905564
68,90177651
69,124751503
70,124759959
71,90012908
72,90153646
73,90103999
74,90375658
75,90140937
76,124887960
77,124893913
78,124886639
79,90071053
80,90085159
81,90122981
82,90143058
83,90120812
84,124752395
85,90160631
86,90133114
87,90140399
88,90137070
89,124751523
90,90147088
91,90136099
92,90121489
93,124751905
94,124742493
95,90132250
96,90151711
97,90111954
98,90160831
99,124735768
100,90157911
101,124734748
102,124900278
103,90316422
104,90326855
105,124731284
106,90358908
107,90102692
108,124746378
109,124762018
110,90175830
111,90137240
112,124750753
113,124757098
114,90159584
115,90548359
116,90386654
117,90135123
118,90414499
119,90404189
120,124744178
121,124882829
122,90123057
123,90139293
124,90154215
125,90142337
126,90164646
127,90108911
128,90156758
129,90154815
130,90170556
131,89988471
132,90150042
133,90170371
134,124883693
135,90070859
136,90140271
137,90148181
138,90132897
139,90087232
140,90154957
141,124911763
142,90143158
143,90174309
144,90084080
145,90471694
146,90166411
147,90193716
148,90499729
149,90160725
150,90133718
151,90150622
152,124760543
153,124741975
154,124751367
155,90309112
156,90155654
157,124912644
158,90123114
159,124907374
160,124747475
161,124731768
162,124911773
163,124739294
164,90386534
165,90149077
166,90159491
167,124746539
168,124888510
169,90052308
170,124738013
171,89987389
172,90150138
173,90114169
174,90179797
175,90075165
176,124741437
177,124735244
178,90141597
179,90187085
180,90355399
181,124876288
182,90085595
183,90143715
184,124754037
185,90180206
186,124751505
187,124878540
188,90472418
189,90319273
190,124740633
191,124899668
192,90188598
193,90116457
194,90144849
195,124741858
196,90053677
197,90146894
198,90000383
199,124748220
200,124739585
201,90349294
202,90145179
203,90127786
204,90161739
205,90138468
206,124749067
207,124906468
208,90104231
209,90086494
210,90147649
211,90124541
212,90326655
213,90093325
214,90123976
215,90096598
216,90105613
217,90124370
218,124913918
219,90047904
220,90108331
221,90149335
222,124885869
223,90186705
224,90082355
225,90146885
226,90077012
227,124758589
228,90568196
229,90129467
230,90080997
231,124893164
232,90171330
233,90136071
234,124881438
235,90523998
236,90150379
237,90140616
238,90121724
239,90474338
240,90356549
241,90141026
242,124893424
243,124749663
244,90375339
245,90149645
246,90098917
247,90169037
248,124749687
249,90105024
250,90091087
251,124892000
252,124754927
253,90149786
254,90138855
255,90171367
256,90071399
257,124749867
258,90068360
259,90136036
260,90134230
261,124888973
262,124905634
263,124873674
264,124739419
265,124763524
266,124881104
267,124743684
268,124737158
269,124734310
270,124737078
271,124909054
272,124746660
273,124736598
274,124736799
275,124755394
276,90135958
277,90123552
278,90156414
279,90136493
280,90144628
281,90088455
282,90103844
283,90158272
284,124740909
285,124877404
286,124755913
287,124730638
288,124747534
289,124911324
290,124895514
291,124892844
292,124881898
293,124747918
294,90141148
295,90140935
296,124753365
297,90134760
298,124744645
299,90145059
300,90077750
301,90349298
302,90139766
303,90143859
304,124749963
305,90061372
306,90065027
307,90142745
308,90134386
309,90374453
310,90092127
311,90153799
312,90117487
313,90115005
314,90115525
315,124888548
316,124754783
317,90148526
318,124738483
319,90134716
320,90069967
321,124750434
322,90148139
323,90144498
324,90144058
325,90003922
326,90131422
327,90088505
328,90173065
329,90081817
330,90185264
331,90174116
332,90454769
333,90122171
334,90041638
335,90174020
336,90195438
337,124899798
338,90577093
339,90125870
340,90155758
341,90070821
342,90410869
343,124898938
344,124913073
345,90576219
346,90164839
347,90149734
348,90124815
349,90130225
350,90363039
351,90144766
352,90317556
353,90059749
354,90162468
355,90155876
356,90133685
357,90126045
358,90171101
359,90159525
360,90034460
361,90183128
362,90131144
363,90131919
364,90143007
365,124732669
366,90128499
367,124754795
368,90166635
369,90172249
370,124891784
371,124883138
372,90128998
373,90187197
374,124749739
375,90348336
376,90120559
377,90116795
378,90149745
379,124885194
