,single,not_single,nyt_id,
16915,0.841411533,0.158588467,4fc05ca745c1498b0d27b6f4,
8654,0.841393656,0.158606344,4fc074d345c1498b0d2f104b,
11814,0.84135334,0.15864666,4fc05b8e45c1498b0d2769b2,
11518,0.841262494,0.158737506,4fc0780b45c1498b0d2ffcd2,
4308,0.841143342,0.158856658,4fc0463945c1498b0d217c27,
3290,0.841119021,0.158880979,4fc05b1745c1498b0d2745cd,
8182,0.841017273,0.158982727,4fc0509e45c1498b0d246358,
12738,0.8410141,0.1589859,4fc088c645c1498b0d34b3fb,
543,0.840947736,0.159052264,4fc0b0b345c1498b0d406785,
12591,0.840887136,0.159112864,4fc04e0045c1498b0d23a622,
14850,0.840849887,0.159150113,4fc064b945c1498b0d2a0702,
5285,0.840840065,0.159159935,4fc0639145c1498b0d29b75b,
2927,0.840703481,0.159296519,4fc0613145c1498b0d2904f2,
952,0.840555643,0.159444357,4fc091d145c1498b0d376352,
2563,0.84049826,0.15950174,4fc05e0945c1498b0d2821e7,
17180,0.840405939,0.159594061,4fc04e0645c1498b0d23aff8,
12463,0.840265645,0.159734355,4fc0b6b145c1498b0d423881,
18956,0.839929075,0.160070925,4fc0638f45c1498b0d29b3ea,
4457,0.839881797,0.160118203,4fc0597c45c1498b0d26d31e,
13584,0.839798304,0.160201696,4fc0549545c1498b0d257cff,
7530,0.839774911,0.160225089,4fc0987345c1498b0d395c0f,
14084,0.839552698,0.160447302,4fc05d9145c1498b0d27f9fa,
7951,0.839503542,0.160496458,4fc080ae45c1498b0d3281c5,
18721,0.839496822,0.160503178,4fc062dc45c1498b0d2981fe,
6216,0.839474434,0.160525566,4fc0660445c1498b0d2a6cce,
7065,0.839202164,0.160797836,4fc0647c45c1498b0d29f4a1,
667,0.839073741,0.160926259,4fc07ea545c1498b0d31f77c,
725,0.839027232,0.160972768,4fc0518d45c1498b0d249aa0,
17294,0.838899947,0.161100053,4fc062df45c1498b0d2987a0,
3122,0.838878465,0.161121535,4fc0700a45c1498b0d2d79d0,
2766,0.838817907,0.161182093,4fc0594245c1498b0d26c577,
18112,0.838574696,0.161425304,4fc083b145c1498b0d33516d,
9527,0.838391468,0.161608532,4fc07ce645c1498b0d3169c6,
15481,0.838346997,0.161653003,4fc0687645c1498b0d2b1f76,
15914,0.837787641,0.162212359,4fc05bfa45c1498b0d278374,
17342,0.837661506,0.162338494,4fc09b3345c1498b0d3a2b67,
8805,0.837633522,0.162366478,4fc07a6445c1498b0d30a66d,
13336,0.837502376,0.162497624,4fc0541345c1498b0d2557d3,
9728,0.837386231,0.162613769,4fc0700a45c1498b0d2d7908,
8351,0.837250073,0.162749927,4fc05c7045c1498b0d27a7c8,
678,0.836985174,0.163014826,4fc080ec45c1498b0d3295ec,
8494,0.836874623,0.163125377,4fc0425945c1498b0d2077eb,
3195,0.836776213,0.163223787,4fc05b4f45c1498b0d275232,
6709,0.836540001,0.163459999,4fc082b345c1498b0d331674,
10883,0.836517712,0.163482288,4fc06b2445c1498b0d2be57a,
18853,0.836513117,0.163486883,4fc0624345c1498b0d295451,
3315,0.836470928,0.163529072,4fc093f445c1498b0d37fc70,
2344,0.836462773,0.163537227,4fc062dd45c1498b0d2984ba,
2125,0.836364109,0.163635891,4fc0832445c1498b0d33263d,
7542,0.836256243,0.163743757,4fc0613145c1498b0d29062b,
10,0.836149409,0.163850591,4fc0486a45c1498b0d221532,
8898,0.836083718,0.163916282,4fc0862445c1498b0d340822,
11575,0.83603581,0.16396419,4fc080b345c1498b0d328a57,
7976,0.835967852,0.164032148,4fc094ca45c1498b0d384337,
9287,0.835826601,0.164173399,4fc049dd45c1498b0d227b37,
11488,0.835788523,0.164211477,4fc07a3745c1498b0d309e4e,
18087,0.835687227,0.164312773,4fc0590245c1498b0d26af66,
16421,0.835554238,0.164445762,4fc049a145c1498b0d227239,
16943,0.835110442,0.164889558,4fc08c4245c1498b0d35c71b,
12849,0.835109361,0.164890639,4fc0660345c1498b0d2a6bde,
11367,0.835004259,0.164995741,4fc08e6245c1498b0d366dd7,
19134,0.834866169,0.165133831,4fc0659345c1498b0d2a4ed0,
2758,0.834750349,0.165249651,4fc09be345c1498b0d3a59e2,
5610,0.834639144,0.165360856,4fc0502345c1498b0d2432be,
5899,0.834598015,0.165401985,4fc091c545c1498b0d375987,
8807,0.834449353,0.165550647,4fc04b7345c1498b0d22facc,
5939,0.83439591,0.16560409,4fc0648145c1498b0d29fc91,
10515,0.834371406,0.165628594,4fc09d4245c1498b0d3aaa8b,
7959,0.834357846,0.165642154,4fc05fd145c1498b0d289ea7,
8794,0.834242552,0.165757448,4fc0828245c1498b0d330fd0,
8861,0.834143351,0.165856649,4fc0509e45c1498b0d246368,
14910,0.834018151,0.165981849,4fc087e645c1498b0d3475bd,
3592,0.833515775,0.166484225,4fc0528245c1498b0d24e7fe,
17366,0.833449384,0.166550616,4fc053d445c1498b0d25429e,
15284,0.833426941,0.166573059,4fc06a8b45c1498b0d2bc602,
16843,0.833336689,0.166663311,4fc09ba845c1498b0d3a4aae,
774,0.833295315,0.166704685,4fc0795745c1498b0d30524b,
3751,0.833293241,0.166706759,4fc0597545c1498b0d26cd54,
10210,0.833223516,0.166776484,4fc06b2445c1498b0d2be464,
18746,0.833141764,0.166858236,4fc06b2645c1498b0d2be73a,
1092,0.833011545,0.166988455,4fc0691245c1498b0d2b4fe5,
5405,0.83285015,0.16714985,4fc0679745c1498b0d2ae043,
14494,0.832771896,0.167228104,4fc07a6845c1498b0d30ad7a,
7772,0.832657269,0.167342731,4fc083ec45c1498b0d335e61,
18656,0.832604363,0.167395637,4fc0b59e45c1498b0d41dc13,
9633,0.832521353,0.167478647,4fc050d045c1498b0d2465a8,
13591,0.832463243,0.167536757,4fc0687945c1498b0d2b253d,
4683,0.832385439,0.167614561,4fc05b8c45c1498b0d27672f,
10815,0.832316733,0.167683267,4fc06e9745c1498b0d2cfa30,
3939,0.832298687,0.167701313,4fc07a6245c1498b0d30a3d1,
4893,0.832209718,0.167790282,4fc05b1345c1498b0d273eab,
13714,0.832131293,0.167868707,4fc05d1e45c1498b0d27dc3e,
14456,0.832038051,0.167961949,4fc07d9845c1498b0d319e51,
8435,0.832016662,0.167983338,4fc05ee945c1498b0d285191,
5986,0.831959784,0.168040216,4fc07a6545c1498b0d30a9be,
5172,0.83193945,0.16806055,4fc0700345c1498b0d2d75d9,
11595,0.831875387,0.168124613,4fc080ef45c1498b0d329aed,
4966,0.831847663,0.168152337,4fc059ee45c1498b0d26f281,
8806,0.831799143,0.168200857,4fc07dd245c1498b0d31b0eb,
17135,0.831766985,0.168233015,4fc07f8745c1498b0d323af8,
5701,0.831595466,0.168404534,4fc0549545c1498b0d257caa,
2687,0.831258507,0.168741493,4fc0991d45c1498b0d3993dc,
1380,0.831142022,0.168857978,4fc0b0b845c1498b0d406e72,
1920,0.830923165,0.169076835,4fc080b445c1498b0d328ad9,
15433,0.830868057,0.169131943,4fc07f7e45c1498b0d32321b,
13853,0.830834738,0.169165262,4fc04faa45c1498b0d241d54,
13673,0.830711822,0.169288178,4fc06c2d45c1498b0d2c37b3,
10393,0.830556372,0.169443628,4fc0597b45c1498b0d26d26e,
17626,0.830472964,0.169527036,4fc07d2045c1498b0d317b1a,
13280,0.830462466,0.169537534,4fc08afd45c1498b0d35630d,
8609,0.830332682,0.169667318,4fc0624445c1498b0d295552,
7008,0.830329493,0.169670507,4fc0837045c1498b0d333dc5,
7357,0.830251334,0.169748666,4fc06c8d45c1498b0d2c5887,
14734,0.830036835,0.169963165,4fc0617545c1498b0d291dcc,
10194,0.830035544,0.169964456,4fc091cf45c1498b0d376110,
5838,0.829901668,0.170098332,4fc04fe445c1498b0d242b63,
3819,0.829817857,0.170182143,4fc097a245c1498b0d3920d5,
10860,0.829775889,0.170224111,4fc0739d45c1498b0d2ea4cc,
11889,0.829773888,0.170226112,4fc04bf145c1498b0d2319b3,
12813,0.829744032,0.170255968,4fc0795945c1498b0d305439,
10025,0.829651276,0.170348724,4fc087ed45c1498b0d3480c9,
13077,0.829634458,0.170365542,4fc09a7c45c1498b0d39f25f,
11992,0.829574084,0.170425916,4fc08df045c1498b0d3645db,
3971,0.829489898,0.170510102,4fc0474b45c1498b0d21c5cc,
660,0.829286913,0.170713087,4fc0b0ec45c1498b0d4077f6,
2747,0.829193615,0.170806385,4fc06b2245c1498b0d2be2e3,
12816,0.829066054,0.170933946,4fc050d745c1498b0d2471f9,
6777,0.828896409,0.171103591,4fc050d545c1498b0d246ff1,
10379,0.8286126,0.1713874,4fc058c345c1498b0d26a299,
1706,0.828524737,0.171475263,4fc08fc545c1498b0d36cd40,
18109,0.828519398,0.171480602,4fc05e0845c1498b0d281fa0,
13969,0.828489079,0.171510921,4fc0590345c1498b0d26b070,
16080,0.828450665,0.171549335,4fc0545545c1498b0d256a6f,
10420,0.828430438,0.171569562,4fc0a40545c1498b0d3ca74f,
8102,0.828320678,0.171679322,4fc0463345c1498b0d216f7e,
1130,0.82815125,0.17184875,4fc0617345c1498b0d291a4b,
8668,0.82793519,0.17206481,4fc0549545c1498b0d257b7b,
15218,0.827915015,0.172084985,4fc04d1345c1498b0d236c0a,
18100,0.827895974,0.172104026,4fc05b1345c1498b0d273f80,
3288,0.827852926,0.172147074,4fc05b1345c1498b0d273eea,
10628,0.827656533,0.172343467,4fc0882345c1498b0d348670,
16947,0.827635391,0.172364609,4fc058fd45c1498b0d26aa51,
8328,0.827556716,0.172443284,4fc0991b45c1498b0d3990dd,
15665,0.827329235,0.172670765,4fc05ee645c1498b0d284e19,
11617,0.827296265,0.172703735,4fc09be345c1498b0d3a5a59,
10663,0.827257347,0.172742653,4fc066e545c1498b0d2ab61a,
4982,0.82706234,0.17293766,4fc0b87545c1498b0d42a738,
559,0.826982423,0.173017577,4fc0539545c1498b0d252eb5,
18764,0.826791346,0.173208654,4fc0597445c1498b0d26ccb7,
15711,0.826748434,0.173251566,4fc0812d45c1498b0d32aed9,
19136,0.826263379,0.173736621,4fc0816945c1498b0d32c116,
6783,0.826144027,0.173855973,4fc07ad245c1498b0d30ccfd,
13260,0.82612115,0.17387885,4fc04e0045c1498b0d23a621,
14206,0.826059147,0.173940853,4fc07a6745c1498b0d30ac07,
1476,0.826046233,0.173953767,4fc04bb545c1498b0d230bde,
1635,0.825677333,0.174322667,4fc099cc45c1498b0d39c69e,
8299,0.825675739,0.174324261,4fc0b87345c1498b0d42a3e4,
9497,0.825616233,0.174383767,4fc0964945c1498b0d38b475,
8775,0.825487754,0.174512246,4fc053a145c1498b0d253bbb,
4313,0.825376357,0.174623643,4fc0849845c1498b0d338ef9,
6553,0.825189756,0.174810244,4fc0660345c1498b0d2a6b25,
15548,0.824899829,0.175100171,4fc07f8845c1498b0d323c5e,
4898,0.824894403,0.175105597,4fc07f7d45c1498b0d323142,
13636,0.824893584,0.175106416,4fc058ff45c1498b0d26ae32,
8013,0.824764627,0.175235373,4fc054d145c1498b0d258fa7,
5862,0.824740501,0.175259499,4fc0617845c1498b0d2921a0,
10935,0.824730753,0.175269247,4fc07a3645c1498b0d309df2,
18477,0.82468869,0.17531131,4fc07ea245c1498b0d31f2fa,
11362,0.824659149,0.175340851,4fc04b3645c1498b0d22e765,
3536,0.82463348,0.17536652,4fc0509a45c1498b0d245da1,
4413,0.824563617,0.175436383,4fc0660245c1498b0d2a6a52,
16939,0.824519984,0.175480016,4fc07edb45c1498b0d320a5a,
10829,0.824458791,0.175541209,4fc0585345c1498b0d268238,
6453,0.824406127,0.175593873,4fc0463245c1498b0d216f00,
16696,0.824302798,0.175697202,4fc0b0b545c1498b0d406a24,
1778,0.824167605,0.175832395,4fc096f845c1498b0d38ebef,
2673,0.824037189,0.175962811,4fc06c2c45c1498b0d2c371c,
13113,0.824025314,0.175974686,4fc0553c45c1498b0d25a4ba,
3874,0.823932885,0.176067115,4fc05b5245c1498b0d2755c1,
3113,0.823820432,0.176179568,4fc0655745c1498b0d2a35c3,
15826,0.823811707,0.176188293,4fc05d5545c1498b0d27ecef,
12875,0.82380672,0.17619328,4fc0600445c1498b0d28ac69,
3715,0.823799241,0.176200759,4fc074cf45c1498b0d2f0980,
13648,0.823795716,0.176204284,4fc0644745c1498b0d29eb8e,
8524,0.823501571,0.176498429,4fc052f345c1498b0d2508be,
2394,0.823474362,0.176525638,4fc0828045c1498b0d330c7a,
13849,0.823381436,0.176618564,4fc07b0e45c1498b0d30dbeb,
15724,0.82334635,0.17665365,4fc07a6445c1498b0d30a66e,
7389,0.823341103,0.176658897,4fc06f4345c1498b0d2d397f,
294,0.823285152,0.176714848,4fc0aa1145c1498b0d3e7563,
11106,0.823258825,0.176741175,4fc0679645c1498b0d2adcfd,
8376,0.823181767,0.176818233,4fc05b8e45c1498b0d276a09,
14177,0.823153425,0.176846575,4fc0b0b745c1498b0d406cd2,
12255,0.823104533,0.176895467,4fc06b5d45c1498b0d2bf7be,
1423,0.822866556,0.177133444,4fc0496a45c1498b0d226826,
6399,0.82283803,0.17716197,4fc07ba545c1498b0d310d9a,
10395,0.822782046,0.177217954,4fc08b6245c1498b0d35756c,
16567,0.822511435,0.177488565,4fc07ba545c1498b0d310e39,
9309,0.82249963,0.17750037,4fc0980945c1498b0d394347,
8336,0.822383811,0.177616189,4fc06e3145c1498b0d2cd8ef,
13599,0.822252666,0.177747334,4fc07a3545c1498b0d309c26,
803,0.822200873,0.177799127,4fc0849f45c1498b0d3398ad,
5716,0.822183754,0.177816246,4fc07d2245c1498b0d317d99,
92,0.822075647,0.177924353,4fc0857f45c1498b0d33d6fa,
9915,0.82199028,0.17800972,4fc0854045c1498b0d33c674,
15815,0.821985113,0.178014887,4fc05f1b45c1498b0d285fbf,
1299,0.821952723,0.178047277,4fc06d6645c1498b0d2c996a,
14862,0.821855814,0.178144186,4fc089e745c1498b0d350c4e,
12540,0.821843813,0.178156187,4fc05eeb45c1498b0d28542d,
7430,0.821827392,0.178172608,4fc062a845c1498b0d29745b,
3924,0.821800073,0.178199927,4fc0553b45c1498b0d25a2b5,
2970,0.82172267,0.17827733,4fc09d8745c1498b0d3ac22b,
7217,0.821604173,0.178395827,4fc0816745c1498b0d32be23,
15446,0.821522273,0.178477727,4fc0687945c1498b0d2b24fd,
9195,0.821515709,0.178484291,4fc09a7945c1498b0d39eea8,
12636,0.821477475,0.178522525,4fc064ba45c1498b0d2a08d8,
14015,0.82136394,0.17863606,4fc0aec445c1498b0d3fd101,
4348,0.821325806,0.178674194,4fc052f445c1498b0d250a0a,
8038,0.821243973,0.178756027,4fc0853d45c1498b0d33c1fa,
7413,0.821007013,0.178992987,4fc09d0745c1498b0d3a9bfe,
10235,0.820984487,0.179015513,4fc08a5145c1498b0d352c34,
15405,0.820775734,0.179224266,4fc083f545c1498b0d33677a,
18565,0.820590105,0.179409895,4fc08f4345c1498b0d36a79c,
6527,0.820492659,0.179507341,4fc0541245c1498b0d2556d4,
17688,0.820447567,0.179552433,4fc08a5245c1498b0d352ead,
384,0.820369101,0.179630899,4fc099cb45c1498b0d39c474,
18322,0.820272436,0.179727564,4fc06b2745c1498b0d2be82e,
18525,0.820260512,0.179739488,4fc08ff945c1498b0d36d560,
6977,0.820213932,0.179786068,4fc06a5145c1498b0d2bb1af,
16208,0.820199132,0.179800868,4fc050d445c1498b0d246d0a,
289,0.820149607,0.179850393,4fc0a67445c1498b0d3d5e90,
14914,0.820135413,0.179864587,4fc04e0245c1498b0d23a9be,
10418,0.819988131,0.180011869,4fc0605945c1498b0d28c07c,
17162,0.819948493,0.180051507,4fc07ace45c1498b0d30cb07,
3860,0.819772102,0.180227898,4fc06a8945c1498b0d2bc3dc,
5388,0.819763153,0.180236847,4fc09a8245c1498b0d39fad5,
2774,0.819758686,0.180241314,4fc0876d45c1498b0d3456b5,
2714,0.8196339,0.1803661,4fc08e5f45c1498b0d36693a,
6556,0.819554067,0.180445933,4fc0492e45c1498b0d2256de,
14290,0.819438375,0.180561625,4fc054ff45c1498b0d259165,
17793,0.819332136,0.180667864,4fc0995645c1498b0d39a575,
13830,0.819260199,0.180739801,4fc0679945c1498b0d2ae2da,
8193,0.819222153,0.180777847,4fc0659345c1498b0d2a4e47,
1714,0.819146304,0.180853696,4fc063fe45c1498b0d29d5ff,
15142,0.819112874,0.180887126,4fc064b945c1498b0d2a0808,
16860,0.818909811,0.181090189,4fc0746c45c1498b0d2eec43,
2382,0.818778666,0.181221334,4fc0597745c1498b0d26d05b,
13293,0.818689833,0.181310167,4fc0605a45c1498b0d28c25e,
1603,0.818607817,0.181392183,4fc093c045c1498b0d37f1b9,
2425,0.818547268,0.181452732,4fc04bac45c1498b0d22fd89,
17958,0.818464054,0.181535946,4fc047c245c1498b0d21f0b5,
5325,0.818392733,0.181607267,4fc07f8845c1498b0d323cf1,
15991,0.818299595,0.181700405,4fc0658e45c1498b0d2a45e7,
16557,0.818234032,0.181765968,4fc07f0c45c1498b0d320fbf,
9704,0.81819886,0.18180114,4fc0585245c1498b0d2681cc,
11763,0.817959594,0.182040406,4fc093f445c1498b0d37fca7,
4795,0.817955032,0.182044968,4fc05d1f45c1498b0d27dec7,
16105,0.817906165,0.182093835,4fc0942e45c1498b0d38142c,
7589,0.817889016,0.182110984,4fc09a4845c1498b0d39eac2,
4610,0.817743915,0.182256085,4fc0553b45c1498b0d25a1a9,
17070,0.817653081,0.182346919,4fc0664245c1498b0d2a87ae,
3635,0.817518572,0.182481428,4fc0602b45c1498b0d28afbc,
2871,0.817406255,0.182593745,4fc0912945c1498b0d37318f,
8479,0.817359708,0.182640292,4fc06a8945c1498b0d2bc350,
7034,0.817236782,0.182763218,4fc05fd045c1498b0d289cdb,
16644,0.817215681,0.182784319,4fc05a6f45c1498b0d2718ad,
18475,0.817182611,0.182817389,4fc0558945c1498b0d25c13c,
2875,0.817105369,0.182894631,4fc0576345c1498b0d263d4c,
6667,0.81706583,0.18293417,4fc05d9245c1498b0d27fbc2,
11341,0.817019561,0.182980439,4fc080f145c1498b0d329e1a,
14402,0.816898233,0.183101767,4fc08f4645c1498b0d36ac63,
3248,0.816855665,0.183144335,4fc054ff45c1498b0d2590d6,
10258,0.816749391,0.183250609,4fc07a6345c1498b0d30a5a0,
6125,0.816647416,0.183352584,4fc06fcf45c1498b0d2d629d,
11193,0.816527438,0.183472562,4fc09d4345c1498b0d3aab1d,
13594,0.816415323,0.183584677,4fc05b5145c1498b0d27551e,
16070,0.81634843,0.18365157,4fc05f8a45c1498b0d287fce,
6990,0.816246224,0.183753776,4fc067cc45c1498b0d2aee22,
2442,0.816169335,0.183830665,4fc0b59f45c1498b0d41df0a,
12937,0.816127816,0.183872184,4fc062db45c1498b0d298105,
3143,0.816067764,0.183932236,4fc0819a45c1498b0d32cee7,
