,single,not_single,nyt_id,
15572,0.887679199,0.112320801,4fc067cc45c1498b0d2aef53,
9207,0.887503088,0.112496912,4fc0660245c1498b0d2a6a78,
15494,0.881826473,0.118173527,4fc0585345c1498b0d2683eb,
5424,0.880937483,0.119062517,4fc0700945c1498b0d2d77a4,
14600,0.880318603,0.119681397,4fc08d8445c1498b0d362b96,
2671,0.879029133,0.120970867,4fc093f545c1498b0d37fdcc,
14593,0.878489133,0.121510867,4fc096f645c1498b0d38e92a,
17853,0.878099037,0.121900963,4fc0605945c1498b0d28c083,
17850,0.877860867,0.122139133,4fc0492645c1498b0d224b3e,
9585,0.875216538,0.124783462,4fc0613145c1498b0d290607,
16156,0.8748454,0.1251546,4fc087ad45c1498b0d346d80,
13338,0.872646203,0.127353797,4fc0709d45c1498b0d2da7b9,
16896,0.870728086,0.129271914,4fc0b75545c1498b0d42665c,
3000,0.869568208,0.130431792,4fc0644745c1498b0d29ead7,
15901,0.869353615,0.130646385,4fc05e0745c1498b0d281e39,
18795,0.868595904,0.131404096,4fc0960c45c1498b0d38a896,
4210,0.867546806,0.132453194,4fc05eaa45c1498b0d283ccb,
5593,0.867407516,0.132592484,4fc0795745c1498b0d30524f,
11555,0.866057185,0.133942815,4fc05b8b45c1498b0d2765f1,
5460,0.865444274,0.134555726,4fc0602c45c1498b0d28b0e3,
8607,0.864791054,0.135208946,4fc0597745c1498b0d26d0ae,
9531,0.864599072,0.135400928,4fc05bf945c1498b0d27829d,
11546,0.863518007,0.136481993,4fc06af345c1498b0d2bd7b9,
8715,0.863409345,0.136590655,4fc068ae45c1498b0d2b2faf,
8222,0.863325518,0.136674482,4fc0964b45c1498b0d38b742,
5552,0.863310432,0.136689568,4fc05f5345c1498b0d286cc5,
12371,0.863055464,0.136944536,4fc08e5f45c1498b0d366a8f,
16812,0.862965458,0.137034542,4fc062aa45c1498b0d2978ff,
7250,0.862567621,0.137432379,4fc09af445c1498b0d3a131b,
2410,0.862407091,0.137592909,4fc04b7345c1498b0d22fb0e,done
11755,0.862298824,0.137701176,4fc05b1845c1498b0d274744,
12171,0.862256658,0.137743342,4fc0700745c1498b0d2d7784,
18411,0.862130389,0.137869611,4fc05a2a45c1498b0d26ff69,
12207,0.862126237,0.137873763,4fc0585345c1498b0d268236,
8094,0.86196657,0.13803343,4fc06b5a45c1498b0d2bf50e,
11043,0.861746429,0.138253571,4fc07a6245c1498b0d30a430,
787,0.861476685,0.138523315,4fc056f145c1498b0d2624e7,
6539,0.860817247,0.139182753,4fc0576245c1498b0d263b25,
7781,0.859159277,0.140840723,4fc06a8a45c1498b0d2bc4f9,
983,0.859138711,0.140861289,4fc09cc545c1498b0d3a8b6a,
16185,0.858904543,0.141095457,4fc0635745c1498b0d29a681,
40,0.858833643,0.141166357,4fc0648045c1498b0d29fc2d,
15731,0.857816675,0.142183325,4fc0663a45c1498b0d2a7bff,
397,0.85753766,0.14246234,4fc08c3b45c1498b0d35bba9,
9598,0.857497226,0.142502774,4fc0816745c1498b0d32be2a,
3908,0.857371583,0.142628417,4fc0b18b45c1498b0d40a1a7,
977,0.857230838,0.142769162,4fc07b6f45c1498b0d30fe39,
10316,0.857101442,0.142898558,4fc0660445c1498b0d2a6c91,
1341,0.856754619,0.143245381,4fc07e0545c1498b0d31c0a2,
472,0.856572917,0.143427083,4fc0b0b645c1498b0d406b4c,
6605,0.856514739,0.143485261,4fc07acc45c1498b0d30c818,
1440,0.856432735,0.143567265,4fc0b18e45c1498b0d40a6d1,
11499,0.856320386,0.143679614,4fc06b8f45c1498b0d2c05d6,
16643,0.856020664,0.143979336,4fc05c3b45c1498b0d27a376,
19232,0.855640759,0.144359241,4fc057a445c1498b0d265670,
18665,0.8554678,0.1445322,4fc053d345c1498b0d254161,
3902,0.855303831,0.144696169,4fc0938b45c1498b0d37e1f8,
4704,0.855021851,0.144978149,4fc0aaef45c1498b0d3ea890,
6853,0.855008951,0.144991049,4fc0576145c1498b0d263a95,
76,0.854856803,0.145143197,4fc096f645c1498b0d38e927,
15830,0.854848001,0.145151999,4fc0519045c1498b0d249db5,
9865,0.854837328,0.145162672,4fc06b5e45c1498b0d2bf9e5,
8820,0.854269428,0.145730572,4fc0487145c1498b0d22220d,
16495,0.854159795,0.145840205,4fc0528245c1498b0d24e843,
12879,0.853982928,0.146017072,4fc048e045c1498b0d2242fa,
3277,0.853933818,0.146066182,4fc0862645c1498b0d340a3b,
18886,0.853918532,0.146081468,4fc06b2445c1498b0d2be553,
6965,0.853873286,0.146126714,4fc086aa45c1498b0d342657,
10946,0.853811039,0.146188961,4fc053d245c1498b0d25400d,
19231,0.853675412,0.146324588,4fc05ca745c1498b0d27b75e,
3112,0.853364569,0.146635431,4fc0554745c1498b0d25af5f,
8112,0.853106232,0.146893768,4fc0849d45c1498b0d3395ee,
13095,0.852840918,0.147159082,4fc0659345c1498b0d2a4d72,
12741,0.851981219,0.148018781,4fc0687745c1498b0d2b221e,
4896,0.851935442,0.148064558,4fc05e0945c1498b0d282193,
11653,0.851332958,0.148667042,4fc058c245c1498b0d26a098,
13002,0.851200566,0.148799434,4fc07bdc45c1498b0d311e2c,
14156,0.851083496,0.148916504,4fc0638f45c1498b0d29b386,
8858,0.850212006,0.149787994,4fc07acc45c1498b0d30c869,
487,0.850183907,0.149816093,4fc05b8c45c1498b0d2766dd,
1300,0.850106427,0.149893573,4fc06edd45c1498b0d2d1b12,
431,0.849985976,0.150014024,4fc085e945c1498b0d33ec4b,
1343,0.849918604,0.150081396,4fc059ea45c1498b0d26ec6f,
7515,0.849346946,0.150653054,4fc06a5245c1498b0d2bb36e,
3105,0.849262901,0.150737099,4fc0627345c1498b0d296434,
4632,0.849168856,0.150831144,4fc058fe45c1498b0d26acb1,
17331,0.849157039,0.150842961,4fc0502545c1498b0d2436a6,
17876,0.849073169,0.150926831,4fc0502445c1498b0d243497,
11496,0.84893914,0.15106086,4fc0506545c1498b0d2451d8,
576,0.848876683,0.151123317,4fc0739d45c1498b0d2ea522,
13498,0.848349385,0.151650615,4fc0700345c1498b0d2d759d,
3804,0.847978397,0.152021603,4fc0613045c1498b0d290410,
18129,0.847928422,0.152071578,4fc093f645c1498b0d37ffcd,
18178,0.847762879,0.152237121,4fc062dd45c1498b0d2983b8,
12111,0.846957467,0.153042533,4fc0960945c1498b0d38a3b4,
1665,0.846923413,0.153076587,4fc0597745c1498b0d26d1d0,
11636,0.846801924,0.153198076,4fc05c6f45c1498b0d27a65d,
3368,0.846355727,0.153644273,4fc053d645c1498b0d25457f,
3930,0.846326769,0.153673231,4fc0660145c1498b0d2a6909,
9146,0.846012048,0.153987952,4fc0463245c1498b0d216e8d,
19019,0.845852087,0.154147913,4fc04fa345c1498b0d241128,
18993,0.845612717,0.154387283,4fc0b0ea45c1498b0d40751b,
8143,0.845542333,0.154457667,4fc074d145c1498b0d2f0d9e,
12756,0.845435898,0.154564102,4fc0740745c1498b0d2ec6c7,
1214,0.845354529,0.154645471,4fc0819745c1498b0d32cae6,
59,0.845279953,0.154720047,4fc0942b45c1498b0d381062,
3131,0.845186433,0.154813567,4fc050d545c1498b0d247014,
4033,0.845004762,0.154995238,4fc05ee645c1498b0d284d9d,
4536,0.84497309,0.15502691,4fc07f0b45c1498b0d320f2d,
1089,0.844842887,0.155157113,4fc0903345c1498b0d36e56a,
1010,0.844685042,0.155314958,4fc091c645c1498b0d375b17,
10185,0.844578103,0.155421897,4fc0923e45c1498b0d378083,
13848,0.844356833,0.155643167,4fc0463245c1498b0d216e84,
11674,0.844354606,0.155645394,4fc0795a45c1498b0d3055e4,
6389,0.844277414,0.155722586,4fc0597d45c1498b0d26d4cc,
10753,0.844241225,0.155758775,4fc0576445c1498b0d263f65,
6367,0.844163658,0.155836342,4fc05fff45c1498b0d28a459,
15195,0.844029329,0.155970671,4fc0647d45c1498b0d29f607,
8900,0.843994492,0.156005508,4fc092e145c1498b0d37b077,
12375,0.84389989,0.15610011,4fc0807745c1498b0d3281b4,
18419,0.843489986,0.156510014,4fc07c5145c1498b0d314311,
5233,0.843424088,0.156575912,4fc0560445c1498b0d25e20a,
15969,0.843359814,0.156640186,4fc096f745c1498b0d38ea1a,
1841,0.843206119,0.156793881,4fc0b83a45c1498b0d429730,
5101,0.843098814,0.156901186,4fc0903c45c1498b0d36ee6e,
4743,0.842688505,0.157311495,4fc0849845c1498b0d338ead,
17913,0.842635311,0.157364689,4fc0803c45c1498b0d326e56,
7233,0.842523874,0.157476126,4fc06ed545c1498b0d2d14a8,
7247,0.842428226,0.157571774,4fc0b18f45c1498b0d40a78b,
8917,0.842386799,0.157613201,4fc0659145c1498b0d2a4a73,
990,0.842278917,0.157721083,4fc05b8d45c1498b0d27686e,
7805,0.842128924,0.157871076,4fc06fce45c1498b0d2d6030,
5604,0.842040157,0.157959843,4fc09d4945c1498b0d3ab05b,
2322,0.841950381,0.158049619,4fc07cbf45c1498b0d31652c,
6366,0.841608182,0.158391818,4fc0597545c1498b0d26cee5,
