,word,coefficient
8251,mr,-1.5534775441
10241,he,-1.29331758659
19364,his,-1.28980047653
6138,the,-0.951390262677
4117,of,-0.667290461599
1537,in,-0.556086995508
7028,that,-0.503876863086
5876,dr,-0.47212087178
2608,to,-0.441433475425
1054,for,-0.364758836361
4107,this,-0.349832588481
19811,prof,-0.318883250665
21348,volume,-0.310616743807
4628,edition,-0.310477886439
9824,george,-0.297458329384
2512,as,-0.296743318608
6469,napoleon,-0.267611370888
6114,on,-0.255067892687
11264,it,-0.244492420845
19919,state,-0.244046851585
5457,law,-0.240092813379
8928,russian,-0.238392310562
6343,was,-0.237728705959
1583,so,-0.231015938993
1012,d,-0.228680642111
8457,famous,-0.215281289195
6344,war,-0.213390900326
10220,north,-0.209050464974
5387,work,-0.206181289474
11208,interest,-0.202213753575
6972,british,-0.196979178764
794,adventures,-0.195883619395
20498,out,-0.194829791046
6880,h,-0.193810314459
14317,boys,-0.192827828614
15168,notes,-0.191502048363
15643,important,-0.191387408258
6131,tho,-0.186681143365
5138,says,-0.186190445264
4858,paul,-0.183757628095
13743,thomas,-0.182176906904
20548,g,-0.178377462106
4974,r,-0.177104365303
5345,indians,-0.174382485497
3323,sea,-0.173792951408
7923,advertising,-0.171613767722
21043,charles,-0.17157261567
19847,page,-0.16966732678
19278,any,-0.168767664179
14349,expedition,-0.168657680052
15909,army,-0.168277891269
9415,university,-0.166461253329
4245,ship,-0.166229328813
8916,himself,-0.166153145953
21204,church,-0.165641532149
3825,points,-0.165592296806
12906,enough,-0.164312216062
17096,pelham,-0.163849238782
9352,least,-0.16354545664
3692,by,-0.163046656146
4074,next,-0.162098360342
8818,economic,-0.161613200743
13616,him,-0.1615536524
8744,officers,-0.161060271484
4891,five,-0.157975178641
5725,powers,-0.157934656873
6345,cloth,-0.156358887692
5682,john,-0.154810486822
10776,navy,-0.15413360013
3066,number,-0.153749366386
19536,political,-0.153527968504
775,cards,-0.15288705531
10358,captain,-0.152691278122
21041,present,-0.152564749095
17124,no,-0.152359849138
11566,detective,-0.151290296458
6333,fight,-0.149725834202
18036,officer,-0.149433891859
11356,facts,-0.149354140409
2370,power,-0.14869400527
10234,ho,-0.148150481333
190,seems,-0.147803210359
7520,t,-0.147400767065
9006,william,-0.146893267326
20543,ipswich,-0.14667633821
4401,system,-0.146518165613
9751,years,-0.146333632786
11727,did,-0.146088945764
267,how,-0.144753466731
12775,slavery,-0.144122027736
19125,success,-0.142115688752
13628,part,-0.141787391783
11806,boy,-0.14107126331
8000,history,-0.140402196873
4883,government,-0.139949040956
11110,juliet,-0.139568540105
31,adventure,-0.139033639899
9633,able,-0.137586778738
16374,serve,-0.136360209806
7780,douglas,-0.135504554839
7346,these,-0.134560854835
12700,smith,-0.134061100333
8,prices,-0.133796166356
7261,article,-0.133794757929
2452,complete,-0.13330006917
13350,abby,-0.133288498781
13077,subject,-0.133156651065
19107,effect,-0.132627739642
1831,russia,-0.13261053225
18712,what,-0.132100007697
14815,paper,-0.131794783194
15938,existence,-0.131706226133
1904,average,-0.131434060137
16056,henry,-0.130882116674
19296,value,-0.130811740369
5580,reached,-0.130727503951
12112,canada,-0.130388246744
2300,world,-0.130348661774
15641,yacht,-0.129597027326
4157,animal,-0.128023576233
917,fairly,-0.127710599422
6771,islands,-0.127052594185
3843,lucie,-0.127042390917
16415,lawyer,-0.127011964845
6708,can,-0.12673210203
14113,education,-0.126701823212
4445,roberts,-0.126638986821
13255,gold,-0.126500974512
7185,samuel,-0.126433544006
3634,methods,-0.126257500976
7676,native,-0.125934308335
19537,due,-0.125933262704
4150,purpose,-0.125475577871
2835,states,-0.125253328643
10993,m,-0.125193566085
6149,gods,-0.124662013825
3800,influence,-0.124572956759
5555,l,-0.124458689246
1249,class,-0.124182472839
3097,essays,-0.124041613595
12337,shop,-0.123887492822
6187,capt,-0.123551195648
10661,third,-0.123530759518
5412,india,-0.12336377411
1917,laws,-0.123042271585
10,woods,-0.122638224355
13340,advice,-0.122059425784
5063,marquis,-0.121588388767
9282,control,-0.121532415634
20029,narrative,-0.121466126886
7789,griffin,-0.121288965982
16241,january,-0.120654614861
9934,london,-0.120631299698
11913,making,-0.1202323997
1874,take,-0.119855194561
4026,great,-0.119291469637
8661,darrell,-0.119163082751
3221,golf,-0.118836052784
4853,trust,-0.118633182746
15721,wise,-0.117873528541
21137,stephen,-0.117542408957
16701,been,-0.11739187639
16633,however,-0.117309864078
5545,bank,-0.117015864182
1024,follows,-0.116868158187
16518,spite,-0.116817069826
3995,indian,-0.116123900448
6527,trouble,-0.116066101331
6707,incidents,-0.115946820236
9202,win,-0.115919838278
11260,mexico,-0.115403948661
1796,williams,-0.115095203831
17630,constitution,-0.114837834482
17484,biography,-0.114834032301
7200,hamilton,-0.114418946004
15137,text,-0.114085727389
1040,physician,-0.113770073152
3058,major,-0.113605118976
827,union,-0.113544855033
12492,clayton,-0.11349969047
1734,besides,-0.113163085794
1826,future,-0.11314937122
15258,progress,-0.113083204795
8481,x,-0.113044101924
8350,karl,-0.112782610889
3982,index,-0.112304241256
8287,hundred,-0.112297427143
8169,beyond,-0.111918067402
5911,cattle,-0.111788911674
8450,wilderness,-0.11158394419
19487,treated,-0.11153569216
1396,along,-0.111348518039
2069,s,-0.110633403533
9448,gallant,-0.110314744633
19886,canal,-0.110261685692
17052,head,-0.110139156458
9612,ivory,-0.109781522149
17787,miles,-0.109777695691
925,vivien,-0.109669538379
12979,field,-0.109451740066
17678,marries,-0.109437319444
20922,murder,-0.109248766733
19557,ghost,-0.109051780917
6597,v,-0.109024784368
1890,remarks,-0.108964808762
17508,j,-0.108930532845
8651,florida,-0.108862554627
4038,opinion,-0.108584847814
8980,pp,-0.108508211863
19566,commission,-0.108405231935
5618,admits,-0.108257507564
15958,auction,-0.108218547054
3477,vol,-0.108069083419
1994,where,-0.108039872001
2434,philadelphia,-0.10798843296
109,admiral,-0.107933684142
10585,fighting,-0.106856990756
18065,poe,-0.106794048514
7878,learned,-0.106657300424
16000,would,-0.106625421892
11532,editor,-0.106559801138
3437,mind,-0.106340442783
3367,last,-0.105666346012
875,jimmie,-0.105597140734
16781,administrative,-0.105130940394
4983,face,-0.105079988028
12246,were,-0.104964593852
5507,somewhere,-0.104933822375
17765,editions,-0.104716086926
14548,chicago,-0.10471333396
2699,method,-0.104616798649
6401,evidence,-0.104599438555
18283,easily,-0.104576836049
20599,their,-0.104458732613
623,professor,-0.1041782658
8970,novelist,-0.104076356199
4455,ingenious,-0.104023646765
21450,volumes,-0.103889647974
13326,maps,-0.103720835736
1630,suspicion,-0.103513252488
13945,far,-0.103197066512
1889,printed,-0.103176194953
11984,man,-0.103119074917
19768,arthur,-0.102956754351
14761,united,-0.102858737333
3000,really,-0.102749840183
12689,money,-0.102706360951
398,series,-0.102138710106
15818,curate,-0.102060041004
1894,pages,-0.10203524902
17802,reader,-0.101702590979
12279,place,-0.101540516532
20784,local,-0.101508514334
9635,battles,-0.101263500585
8779,game,-0.101140165188
4353,put,-0.1009806085
3877,essay,-0.100891122231
21105,aims,-0.100823565951
5770,explanation,-0.1007722607
4614,ohio,-0.100642455655
21157,publication,-0.100461228848
10084,lost,-0.100078348635
15471,exceedingly,-0.0998165671568
509,reuben,-0.0997493114107
5811,fitted,-0.0991087537368
13887,drill,-0.0989490144328
18567,included,-0.0989028576054
2686,clock,-0.0987027741999
16939,cooper,-0.0986250927338
18332,pacific,-0.0984703115165
13134,material,-0.0982006556559
14931,early,-0.0979279953159
11122,prince,-0.0978898143195
6628,franklin,-0.0978452754756
7948,takes,-0.0974951768829
512,master,-0.0973952134325
5242,czar,-0.096663849731
11572,settlers,-0.0965806714227
2085,strategy,-0.096266922592
20338,courtships,-0.096191010667
228,example,-0.096138068042
13632,sold,-0.0959678496955
15158,knowledge,-0.0957577289884
12868,potemkin,-0.0956491935663
12576,those,-0.0955618478794
14669,trail,-0.095518097169
7590,greater,-0.0955144464951
15969,falls,-0.0953423637367
8639,fleet,-0.0952175909488
1736,poems,-0.0952000708617
9906,policy,-0.0951381481508
12342,show,-0.0949348135722
2560,having,-0.0947887037226
8826,savage,-0.0947223285253
14205,per,-0.094681060561
2074,expression,-0.0944878275231
19256,check,-0.0941648310867
6625,trial,-0.0941240951417
16733,kentucky,-0.0940826217487
16464,commanding,-0.0939655725338
5202,edward,-0.0939650404211
4769,discoveries,-0.0933759329676
4813,columbia,-0.0933287939916
9365,including,-0.0932968498381
2224,mohawk,-0.0932203792218
7,four,-0.0931383291061
13152,public,-0.0929010403629
13983,bill,-0.0928218455816
11273,ia,-0.0926163722582
550,tree,-0.0925132589003
17685,turn,-0.0925070250177
16940,rhine,-0.0924324192575
5043,believe,-0.0922969248183
2571,original,-0.0922837091971
11515,carving,-0.0921872752802
11139,ignorance,-0.0921679624773
20458,articles,-0.0920955473094
5818,lewis,-0.0920500541982
6072,soldier,-0.0919822029917
12522,slain,-0.0919755716576
9704,careful,-0.0917180017557
3071,general,-0.0914661933047
20643,tommy,-0.091272564855
9434,ills,-0.0910411947357
12799,critical,-0.0909962833679
12968,fill,-0.090959068969
17706,thirty,-0.0907846192487
11810,canadian,-0.0903217502484
3012,meaning,-0.0902768056397
5944,enters,-0.0902266342737
12050,texas,-0.0900327152997
4190,element,-0.0900315741401
10441,force,-0.0899602956571
16803,keats,-0.0899043960519
18824,hoffman,-0.0897383270183
19420,grandfather,-0.0896957717868
11479,burr,-0.0895092978057
10742,meat,-0.0894938032659
4126,process,-0.0893850442572
1209,exist,-0.0892646391106
8267,visions,-0.0891643942862
8629,governor,-0.0891631649755
15055,have,-0.089098592428
19676,anybody,-0.0890417942461
730,result,-0.0890114485141
8776,showing,-0.0888045347051
18296,accepted,-0.0887534565388
12396,distinctly,-0.0887138064448
10449,likely,-0.0886812841602
6017,concerning,-0.0883459243869
15446,novels,-0.0881997694782
8340,emperors,-0.0881613953773
8256,lawson,-0.088020208273
2095,crew,-0.0878153395025
9895,poet,-0.0877953460439
9021,practically,-0.087771833192
15924,causes,-0.0877460383621
15022,treatise,-0.0870060590779
17938,treachery,-0.0868478454473
14715,sought,-0.0867680628786
2662,fashion,-0.0867418612998
14695,obvious,-0.0866540100781
18359,dudley,-0.0865998417682
20251,parliament,-0.0865758312071
2401,jew,-0.0865645253592
19944,called,-0.0864703623888
8121,food,-0.0863154611392
14740,attachment,-0.0862979267602
13501,deals,-0.0862510877741
16634,politics,-0.0861959751167
1743,training,-0.0858230007166
2131,thousand,-0.0857417501623
5795,burlesque,-0.0857313098196
11816,bow,-0.0856870990181
1110,sterne,-0.0855630191994
10635,aboard,-0.0854784759964
127,dryad,-0.0854756125847
14920,harold,-0.0854743586795
5007,three,-0.0854089453591
3565,unto,-0.0852428557975
11701,must,-0.0851891993261
14734,holds,-0.0851590469055
8573,lake,-0.085020649812
18073,howard,-0.0849616827609
7423,bryce,-0.0849585481541
9649,lectures,-0.0849278491294
7302,oliver,-0.0849172385373
5787,phase,-0.0849031296948
15576,ideals,-0.0845816467409
1795,cite,-0.0844605836907
9963,report,-0.0844039855908
8856,nerves,-0.0843922816608
13807,nicholas,-0.0843879760901
2499,ab,-0.0843375912035
8001,sapphires,-0.0842512589881
8420,rhymers,-0.0842249596629
20650,quixote,-0.084170025324
3984,business,-0.0839333317043
17573,evolution,-0.0838459000084
8528,conditions,-0.0838058127876
10964,moscow,-0.0836595171282
19237,suspicious,-0.0835994882302
16332,relations,-0.083581632483
9966,northwest,-0.0834639511741
237,household,-0.0834448111285
14072,county,-0.0834234162191
8115,fool,-0.0833854433041
18484,longer,-0.0831978677965
8406,latest,-0.0831025885888
5714,scenes,-0.0829734603747
7039,probably,-0.082929424913
6477,impulse,-0.0829063456701
14876,about,-0.0828603287115
3051,w,-0.0826664005548
14655,sons,-0.0826322203465
12188,long,-0.0825898452928
4104,animals,-0.0825438435652
21056,flower,-0.0824888880794
3,writings,-0.0824139485713
6538,turns,-0.0820937883771
5758,latter,-0.0820180034936
14078,howe,-0.0819567461754
11143,vernon,-0.0818491018377
19975,peace,-0.0817601825163
15089,savages,-0.0817490370364
15763,cases,-0.0815612468262
9327,thames,-0.0815575442861
4537,fact,-0.0815247534296
1432,marvelous,-0.0815183465827
579,affairs,-0.0815178815938
2972,events,-0.0814974706586
