,term,spearman,spearman_p_value
0,a,-0.0364225612714,0.400479710693
1,aachen,0.0233949373265,0.589242069554
2,aaron,-0.0399586338695,0.356292570799
3,ab,0.0405971261632,0.348653462042
4,aback,-0.0800454880428,0.0642996347505
5,abandon,0.0469214503626,0.278651066534
6,abandoned,0.0295875582309,0.494663066047
7,abandonment,0.0331164020426,0.44462732001
8,abasement,0.0233949373265,0.589242069554
9,abash,-0.0800454880428,0.0642996347505
10,abashed,0.0233949373265,0.589242069554
11,abated,0.0233949373265,0.589242069554
12,abbe,0.0233949373265,0.589242069554
13,abbey,-0.108966343404,0.0116683947648
14,abbeys,-0.0800454880428,0.0642996347505
15,abbot,-0.0190124282307,0.660828330374
16,abbreviated,0.0331164020426,0.44462732001
17,abbreviation,-0.0402323231426,0.353005278008
18,abbreviations,-0.0800454880428,0.0642996347505
19,abby,0.0233949373265,0.589242069554
20,abdication,0.0233949373265,0.589242069554
21,abduct,0.0233949373265,0.589242069554
22,abducted,0.0233949373265,0.589242069554
23,abduction,0.0331164020426,0.44462732001
24,abducts,0.0233949373265,0.589242069554
25,abdul,0.0233949373265,0.589242069554
26,abel,-0.0800454880428,0.0642996347505
27,abelard,-0.0194597794832,0.653362586841
28,aberration,0.0233949373265,0.589242069554
29,aberrations,0.0233949373265,0.589242069554
30,abetted,0.0233949373265,0.589242069554
31,abhorred,0.0331164020426,0.44462732001
32,abhorrence,-0.0800454880428,0.0642996347505
33,abhorrent,0.0233949373265,0.589242069554
34,abide,0.0233949373265,0.589242069554
35,abides,0.0233949373265,0.589242069554
36,abiding,-0.108966343404,0.0116683947648
37,abie,0.0233949373265,0.589242069554
38,abigail,-0.0800454880428,0.0642996347505
39,ability,0.0202654762618,0.640003800119
40,abject,0.0331164020426,0.44462732001
41,abjectly,0.0233949373265,0.589242069554
42,abjectness,0.0233949373265,0.589242069554
43,ablaze,0.0233949373265,0.589242069554
44,able,0.0837549494535,0.0528518598645
45,ablest,0.0233949373265,0.589242069554
46,ably,0.0153849631999,0.722556694998
47,abnormal,0.0149091395958,0.730799711414
48,abnormality,0.0233949373265,0.589242069554
49,abnormally,-0.00523503785037,0.903845975688
50,aboard,0.0622461183611,0.150495394278
51,abode,0.0405971261632,0.348653462042
52,abodes,-0.0402323231426,0.353005278008
53,abolish,0.0233949373265,0.589242069554
54,abolished,0.0331164020426,0.44462732001
55,abolishing,0.0331164020426,0.44462732001
56,abolishment,0.0233949373265,0.589242069554
57,abolition,0.0233949373265,0.589242069554
58,abolitionist,0.0469214503626,0.278651066534
59,abolitionists,0.0233949373265,0.589242069554
60,abomination,0.0233949373265,0.589242069554
61,aboriginal,0.0233949373265,0.589242069554
62,aborigines,0.0575746560985,0.183619108458
63,abortive,-0.0194597794832,0.653362586841
64,abound,-0.0194597794832,0.653362586841
65,abounded,0.0233949373265,0.589242069554
66,abounding,0.0331164020426,0.44462732001
67,abounds,0.0057282506942,0.894837169384
68,about,0.0767037268758,0.0762908946022
69,above,0.0422414087208,0.329462722817
70,abraham,0.0405971261632,0.348653462042
71,abridge,0.0233949373265,0.589242069554
72,abridged,-0.0192361038569,0.657091192783
73,abridgment,0.0233949373265,0.589242069554
74,abroad,-0.0993735553391,0.021514397295
75,abrogated,0.0233949373265,0.589242069554
76,abrupt,0.0331164020426,0.44462732001
77,abruptly,-0.0800454880428,0.0642996347505
78,absconded,0.0233949373265,0.589242069554
79,absence,0.046370352196,0.284341828137
80,absent,-0.00701844404547,0.871337845302
81,absolute,0.0516564029484,0.232940698892
82,absolutely,0.0353866773114,0.414021223415
83,absolutism,0.0405971261632,0.348653462042
84,absorb,-0.0399586338695,0.356292570799
85,absorbed,0.000324670212847,0.994022241612
86,absorbing,0.0221062335762,0.609921820392
87,absorbs,0.0331164020426,0.44462732001
88,absorption,0.0233949373265,0.589242069554
89,abstract,0.0469214503626,0.278651066534
90,abstractions,0.0233949373265,0.589242069554
91,abstruse,-0.0399586338695,0.356292570799
