,nyt_id
0,4fc043f045c1498b0d20cfc5
1,4fc0520945c1498b0d24b9f8
2,4fbfe11845c1498b0d046862
3,4fbff70045c1498b0d0aa0b8
4,4fc00e3845c1498b0d11512c
5,4fc0241a45c1498b0d17c348
6,4fc0173a45c1498b0d13ffdd
7,4fc022d045c1498b0d175b7a
8,4fc02b0d45c1498b0d19bd1f
9,4fc02bc045c1498b0d19efa0
10,4fc02b0d45c1498b0d19bdae
11,4fc02b0d45c1498b0d19bd22
12,4fc01ae445c1498b0d150b43
13,4fc02b0d45c1498b0d19bdd5
14,4fc02b0d45c1498b0d19bd2f
15,4fc02b0c45c1498b0d19bcaf
16,4fc02f7245c1498b0d1b01ad
17,4fc01b5945c1498b0d152a99
18,4fc02ecc45c1498b0d1ace47
19,4fc02ecc45c1498b0d1acebc
20,4fc02ecd45c1498b0d1acf54
21,4fc02f7045c1498b0d1afe62
22,4fc02b0c45c1498b0d19bcba
23,4fc01b5e45c1498b0d152eb1
24,4fc02ed345c1498b0d1ad366
25,4fc02e9145c1498b0d1ac457
26,4fc01b2045c1498b0d151aab
27,4fc01b2545c1498b0d151faf
28,4fc022d245c1498b0d175d73
29,4fc02ed345c1498b0d1ad35f
30,4fc0173d45c1498b0d140465
31,4fc0173c45c1498b0d140250
32,4fc01b2145c1498b0d151bfe
33,4fc01b2245c1498b0d151c89
34,4fc022d345c1498b0d175e54
35,4fc022d345c1498b0d175eca
36,4fc01ae545c1498b0d150cb8
37,4fc02f7545c1498b0d1b05fb
38,4fc02fae45c1498b0d1b17ae
39,4fc02f6f45c1498b0d1afd38
40,4fc0253045c1498b0d181630
41,4fc0188645c1498b0d1468a1
42,4fc0188545c1498b0d146744
43,4fc02ed045c1498b0d1ad29a
44,4fc0188645c1498b0d14687a
45,4fc01b2345c1498b0d151d9f
46,4fc0253145c1498b0d18181b
47,4fc01b2445c1498b0d151f01
48,4fc0188545c1498b0d1467ab
49,4fc02ed345c1498b0d1ad33c
50,4fc0252e45c1498b0d18133b
51,4fc02dea45c1498b0d1a9441
52,4fc02ecf45c1498b0d1ad1e2
53,4fc0316e45c1498b0d1b9b70
54,4fc01e2f45c1498b0d1604fc
55,4fc030fc45c1498b0d1b7821
56,4fc0195845c1498b0d14a903
57,4fc0328d45c1498b0d1becf6
58,4fc0195845c1498b0d14a8e5
59,4fc01e3145c1498b0d160723
60,4fc030fc45c1498b0d1b77de
61,4fc01d8145c1498b0d15d4c5
62,4fc02fad45c1498b0d1b1646
63,4fc0325a45c1498b0d1bdee3
64,4fc0272945c1498b0d18ac2d
65,4fc0272a45c1498b0d18ae2b
66,4fc0272845c1498b0d18ab8d
67,4fc02fae45c1498b0d1b174e
68,4fc02bf845c1498b0d1a0094
69,4fc01e3045c1498b0d1605ef
70,4fc01e2f45c1498b0d160437
71,4fc01e2e45c1498b0d160378
72,4fc02fe745c1498b0d1b271d
73,4fc030fd45c1498b0d1b79c4
74,4fc0195a45c1498b0d14aadc
75,4fc02b8745c1498b0d19e28c
76,4fc01e2f45c1498b0d160415
77,4fc02b8645c1498b0d19e225
78,4fc030fc45c1498b0d1b7888
79,4fc02fe545c1498b0d1b2429
80,4fc0195a45c1498b0d14aa95
81,4fc02f3c45c1498b0d1af18b
82,4fc02bf545c1498b0d19fc53
83,4fc02fa945c1498b0d1b10eb
84,4fc0325845c1498b0d1bdd88
85,4fc02f3d45c1498b0d1af216
86,4fc0325245c1498b0d1bd91e
87,4fc0188245c1498b0d146325
88,4fc02fa945c1498b0d1b1098
89,4fc02faa45c1498b0d1b116a
90,4fc026ee45c1498b0d189737
91,4fc02ca045c1498b0d1a300c
92,4fc02c9f45c1498b0d1a2d9f
93,4fc02ad745c1498b0d19aebd
94,4fc01d7f45c1498b0d15d21d
95,4fc02ca245c1498b0d1a3194
96,4fc0272545c1498b0d18a847
97,4fc0272545c1498b0d18a752
98,4fc02ad345c1498b0d19adf6
99,4fc02f3d45c1498b0d1af29a
100,4fc02ca245c1498b0d1a3186
101,4fc02f3c45c1498b0d1af0fc
102,4fc01d7f45c1498b0d15d19c
103,4fc02bf545c1498b0d19fca6
104,4fc026ed45c1498b0d189676
105,4fc0272645c1498b0d18a9b3
106,4fc02c9f45c1498b0d1a2e22
107,4fc0195745c1498b0d14a6f5
108,4fc01d7d45c1498b0d15cf39
109,4fc02c6b45c1498b0d1a2234
110,4fc030f945c1498b0d1b74fe
111,4fc0328b45c1498b0d1be966
112,4fc030fa45c1498b0d1b7535
113,4fc030f945c1498b0d1b74cf
114,4fc01e2b45c1498b0d1602d7
115,4fc01e2b45c1498b0d16021a
116,4fc01a3245c1498b0d14e979
117,4fc0328a45c1498b0d1be920
118,4fc02b8445c1498b0d19df08
119,4fc0316c45c1498b0d1b98ad
120,4fc01d7f45c1498b0d15d0f1
121,4fc02fe345c1498b0d1b21fe
122,4fc02fe445c1498b0d1b2391
123,4fc02ad345c1498b0d19ae16
124,4fc02b8445c1498b0d19debb
125,4fc02ada45c1498b0d19b270
126,4fc02ad245c1498b0d19ad0c
127,4fc01e2b45c1498b0d1602e0
128,4fc030fb45c1498b0d1b7675
