,word,coefficient
19613,volume,-0.52339931206
18224,prof,-0.481912618382
5397,dr,-0.478002877114
5834,war,-0.451735667104
5638,tho,-0.386282352683
8212,russian,-0.358826426476
17964,political,-0.32678634731
7353,history,-0.315178901977
9532,captain,-0.314202201472
9037,state,-0.311603421183
14654,army,-0.308044716758
1693,russia,-0.300948115575
4488,government,-0.298574863866
2607,states,-0.294860803764
14398,yacht,-0.277661686797
5014,law,-0.266270696829
3206,vol,-0.265328880937
9410,north,-0.261057847137
1487,years,-0.25707256887
4722,says,-0.256126908684
8112,economic,-0.254094857514
4910,indians,-0.253380844116
10450,facts,-0.253083441085
375,series,-0.251334575276
18900,g,-0.249626521689
13581,united,-0.248447816332
7783,famous,-0.247626809519
6321,h,-0.245803911007
5101,l,-0.243147591812
19699,volumes,-0.243102243824
739,adventures,-0.241281597612
11751,slavery,-0.239487912419
9424,ho,-0.239351656874
4257,edition,-0.238024937442
13198,expedition,-0.237463723747
5258,powers,-0.235414565225
4570,r,-0.234862053095
3899,animal,-0.233735492001
2184,power,-0.233008817104
13967,notes,-0.23191906445
1746,remarks,-0.229152497558
2259,complete,-0.228899062128
13523,island,-0.228426847489
17744,value,-0.228285133377
447,purpose,-0.228145965362
8248,novelist,-0.225634169269
3679,indian,-0.225032597483
19333,education,-0.224645999295
18347,called,-0.223951841772
12101,public,-0.223378570962
4085,roberts,-0.222467619889
7831,revolution,-0.221419154651
9917,navy,-0.221159174938
14400,important,-0.219879354077
12824,ireland,-0.218949067328
13937,text,-0.217242414071
7574,american,-0.21590497433
10964,making,-0.212274038258
10642,detective,-0.211802285128
11349,shop,-0.208135405571
3348,methods,-0.207642148275
3526,points,-0.205324971621
12272,advice,-0.204722783707
16233,constitution,-0.203448074642
10091,philadelphia,-0.203355115102
9607,force,-0.202976788823
4971,india,-0.202340284842
9613,japanese,-0.200921040684
2681,paper,-0.200895599961
5692,capt,-0.200106785062
19157,europe,-0.198824034871
29,adventure,-0.198151502615
1664,williams,-0.197952257301
1901,mans,-0.197880240109
16381,cards,-0.197302156901
3,writings,-0.196342065082
8,woods,-0.195926453444
16556,existence,-0.195759390806
19334,present,-0.195402159574
1745,printed,-0.195147004429
2826,general,-0.192833927786
18424,narrative,-0.19035211238
581,professor,-0.190337824454
2822,number,-0.189513589111
13959,knowledge,-0.189208305995
14701,incidents,-0.18880546016
8565,poetry,-0.188503787035
9387,mississippi,-0.188344683501
11671,money,-0.187667727484
4459,trust,-0.18765800303
109,hero,-0.185521372281
17766,mexico,-0.185311443228
2851,essays,-0.183833585752
766,union,-0.182961716039
5824,fight,-0.182830123804
4941,word,-0.182345525122
17593,success,-0.180391388083
10608,editor,-0.179115648499
12032,subject,-0.178963347183
15087,serve,-0.177391955579
10891,useful,-0.176769133979
1428,divided,-0.176691836865
18299,question,-0.176210452576
8882,lectures,-0.17608536141
5835,cloth,-0.175140146504
6223,islands,-0.175009511419
3062,sea,-0.174911138334
3721,makes,-0.174324079601
2394,th,-0.17423490649
15124,lawyer,-0.173544172388
5095,bank,-0.173385167477
7281,advertising,-0.173076566614
3709,great,-0.17254201442
3572,essay,-0.172048109507
3256,early,-0.171759789792
9120,policy,-0.171424625251
14220,novels,-0.169699091246
3042,river,-0.169662657859
9281,necessary,-0.168633751286
11214,long,-0.16790149475
15748,pelham,-0.163532688082
16248,thirty,-0.163220876555
1750,pages,-0.162924820128
8074,game,-0.162711140749
6,prices,-0.162399939457
6978,greater,-0.162197224403
1317,studies,-0.162155826906
9145,london,-0.162019194069
11049,tall,-0.161602131725
6122,prove,-0.16157016201
10149,judges,-0.161342570706
18085,lower,-0.161255213954
8042,officers,-0.161073208062
16972,england,-0.160958151171
16098,biography,-0.160679529855
2943,plan,-0.160500125255
13384,chicago,-0.160141134202
7461,fool,-0.159962564232
8661,university,-0.159870243098
1689,future,-0.159254420546
19497,empire,-0.158946468952
8695,gallant,-0.158784374354
16614,officer,-0.15845345853
8868,battles,-0.158190376798
6450,national,-0.158076239877
15711,head,-0.158033332389
3719,opinion,-0.157889556352
7942,governor,-0.157797277337
2736,events,-0.157447738846
12565,treated,-0.157174891344
10540,shakespeare,-0.156870809301
8543,control,-0.156863451693
3978,czar,-0.156690153904
937,birth,-0.15652725437
518,nations,-0.155665242696
4654,marquis,-0.154983083025
10245,ignorance,-0.154848583153
5284,strength,-0.154750968705
935,possibly,-0.154238095176
16481,mister,-0.154104961852
7834,pictures,-0.153828168502
12083,material,-0.153663306764
13633,le,-0.153547489939
18106,dark,-0.153519576647
13890,savages,-0.153498131076
6670,article,-0.153415014381
18291,canal,-0.153239501406
2769,meaning,-0.153030795837
8428,commercial,-0.152862144609
849,european,-0.152124019843
16384,usefulness,-0.152119067634
15417,kentucky,-0.152097971081
9110,poet,-0.152009815286
13837,politics,-0.15145217457
4611,mere,-0.149833575296
14048,progress,-0.14942446373
4244,ohio,-0.149040787416
3795,process,-0.148562802798
