,word,coefficient,odds
19613,volume,-0.52339931206,0.592503018151
18224,prof,-0.481912618382,0.617601026384
5397,dr,-0.478002877114,0.62002041311
5834,war,-0.451735667104,0.636522401299
5638,tho,-0.386282352683,0.679578617743
8212,russian,-0.358826426476,0.698495581169
17964,political,-0.32678634731,0.721237820967
7353,history,-0.315178901977,0.729658325275
9532,captain,-0.314202201472,0.730371331069
9037,state,-0.311603421183,0.732271874166
14654,army,-0.308044716758,0.734882455713
1693,russia,-0.300948115575,0.740116172252
4488,government,-0.298574863866,0.74187474016
2607,states,-0.294860803764,0.744635230673
14398,yacht,-0.277661686797,0.757553068371
5014,law,-0.266270696829,0.766231682938
3206,vol,-0.265328880937,0.766953672051
9410,north,-0.261057847137,0.770236362358
1487,years,-0.25707256887,0.773312093345
4722,says,-0.256126908684,0.774043729687
8112,economic,-0.254094857514,0.77561822534
4910,indians,-0.253380844116,0.776172224903
10450,facts,-0.253083441085,0.776403095204
375,series,-0.251334575276,0.777762108051
18900,g,-0.249626521689,0.779091702595
13581,united,-0.248447816332,0.780010563585
7783,famous,-0.247626809519,0.780651220528
6321,h,-0.245803911007,0.782075566301
5101,l,-0.243147591812,0.784155770259
19699,volumes,-0.243102243824,0.784191330952
739,adventures,-0.241281597612,0.785620366418
11751,slavery,-0.239487912419,0.787030786582
9424,ho,-0.239351656874,0.787138031198
4257,edition,-0.238024937442,0.78818303558
13198,expedition,-0.237463723747,0.78862549884
5258,powers,-0.235414565225,0.790243174373
4570,r,-0.234862053095,0.790679913953
3899,animal,-0.233735492001,0.791571165112
2184,power,-0.233008817104,0.792146589055
13967,notes,-0.23191906445,0.793010303435
1746,remarks,-0.229152497558,0.795207257094
2259,complete,-0.228899062128,0.795408816327
13523,island,-0.228426847489,0.79578450871
17744,value,-0.228285133377,0.795897290596
447,purpose,-0.228145965362,0.796008061751
8248,novelist,-0.225634169269,0.798009984849
3679,indian,-0.225032597483,0.798490189565
19333,education,-0.224645999295,0.798798944103
18347,called,-0.223951841772,0.799353628897
12101,public,-0.223378570962,0.799812006374
4085,roberts,-0.222467619889,0.800540927935
7831,revolution,-0.221419154651,0.801380707432
9917,navy,-0.221159174938,0.801589077243
14400,important,-0.219879354077,0.802615624424
12824,ireland,-0.218949067328,0.803362634517
13937,text,-0.217242414071,0.804734866603
7574,american,-0.21590497433,0.805811871048
10964,making,-0.212274038258,0.808743040662
10642,detective,-0.211802285128,0.809124657731
11349,shop,-0.208135405571,0.8120970668
3348,methods,-0.207642148275,0.812497738412
3526,points,-0.205324971621,0.814382622164
12272,advice,-0.204722783707,0.814873181226
16233,constitution,-0.203448074642,0.815912569775
10091,philadelphia,-0.203355115102,0.815988420158
9607,force,-0.202976788823,0.816297188424
4971,india,-0.202340284842,0.816816930225
9613,japanese,-0.200921040684,0.81797701591
2681,paper,-0.200895599961,0.817997826101
5692,capt,-0.200106785062,0.818643329532
19157,europe,-0.198824034871,0.819694118224
29,adventure,-0.198151502615,0.820245574374
1664,williams,-0.197952257301,0.820409020744
1901,mans,-0.197880240109,0.820468106426
16381,cards,-0.197302156901,0.820942542379
3,writings,-0.196342065082,0.821731101082
8,woods,-0.195926453444,0.822072693071
16556,existence,-0.195759390806,0.822210042176
19334,present,-0.195402159574,0.822503813751
1745,printed,-0.195147004429,0.822713706607
2826,general,-0.192833927786,0.824618909056
18424,narrative,-0.19035211238,0.826668002653
581,professor,-0.190337824454,0.826679814109
2822,number,-0.189513589111,0.827361473714
13959,knowledge,-0.189208305995,0.827614091761
14701,incidents,-0.18880546016,0.827947559814
8565,poetry,-0.188503787035,0.82819736702
9387,mississippi,-0.188344683501,0.828329146631
11671,money,-0.187667727484,0.828890078873
4459,trust,-0.18765800303,0.828898139416
109,hero,-0.185521372281,0.830671082055
17766,mexico,-0.185311443228,0.830845482355
2851,essays,-0.183833585752,0.832074261318
766,union,-0.182961716039,0.832800038011
5824,fight,-0.182830123804,0.83290963524
4941,word,-0.182345525122,0.833313359966
17593,success,-0.180391388083,0.834943360572
10608,editor,-0.179115648499,0.836009210596
12032,subject,-0.178963347183,0.836136545595
15087,serve,-0.177391955579,0.837451476408
10891,useful,-0.176769133979,0.837973221737
1428,divided,-0.176691836865,0.838037997152
18299,question,-0.176210452576,0.838441512592
8882,lectures,-0.17608536141,0.838546400779
5835,cloth,-0.175140146504,0.839339382046
6223,islands,-0.175009511419,0.83944903638
3062,sea,-0.174911138334,0.839531619633
3721,makes,-0.174324079601,0.840024618697
2394,th,-0.17423490649,0.840099529646
15124,lawyer,-0.173544172388,0.840680015498
5095,bank,-0.173385167477,0.840813698377
7281,advertising,-0.173076566614,0.841073214251
3709,great,-0.17254201442,0.841522931971
3572,essay,-0.172048109507,0.84193866694
3256,early,-0.171759789792,0.842181449454
9120,policy,-0.171424625251,0.842463766122
14220,novels,-0.169699091246,0.843918720925
3042,river,-0.169662657859,0.843949468302
9281,necessary,-0.168633751286,0.844818260333
11214,long,-0.16790149475,0.845437110577
15748,pelham,-0.163532688082,0.849138741831
16248,thirty,-0.163220876555,0.849403554362
1750,pages,-0.162924820128,0.849655062972
8074,game,-0.162711140749,0.849836636137
6,prices,-0.162399939457,0.850101147552
6978,greater,-0.162197224403,0.85027349332
1317,studies,-0.162155826906,0.850308693243
9145,london,-0.162019194069,0.85042488127
11049,tall,-0.161602131725,0.850779635436
6122,prove,-0.16157016201,0.850806835053
10149,judges,-0.161342570706,0.851000493327
18085,lower,-0.161255213954,0.851074837213
8042,officers,-0.161073208062,0.851229751946
16972,england,-0.160958151171,0.851327697429
16098,biography,-0.160679529855,0.85156492852
2943,plan,-0.160500125255,0.85171771689
13384,chicago,-0.160141134202,0.852023530819
7461,fool,-0.159962564232,0.852175690221
8661,university,-0.159870243098,0.852254367678
1689,future,-0.159254420546,0.852779366774
19497,empire,-0.158946468952,0.85304202198
8695,gallant,-0.158784374354,0.853180306691
16614,officer,-0.15845345853,0.853462684275
8868,battles,-0.158190376798,0.853687244253
6450,national,-0.158076239877,0.853784687047
15711,head,-0.158033332389,0.85382132159
3719,opinion,-0.157889556352,0.853944089461
7942,governor,-0.157797277337,0.854022894216
2736,events,-0.157447738846,0.854321460267
12565,treated,-0.157174891344,0.854554591547
10540,shakespeare,-0.156870809301,0.854814485766
8543,control,-0.156863451693,0.854820775178
3978,czar,-0.156690153904,0.854968926566
937,birth,-0.15652725437,0.85510821195
518,nations,-0.155665242696,0.855845643003
4654,marquis,-0.154983083025,0.856429665561
10245,ignorance,-0.154848583153,0.856544862987
5284,strength,-0.154750968705,0.856628478223
935,possibly,-0.154238095176,0.857067932976
16481,mister,-0.154104961852,0.857182044874
7834,pictures,-0.153828168502,0.857419340004
12083,material,-0.153663306764,0.857560707299
13633,le,-0.153547489939,0.857660033009
18106,dark,-0.153519576647,0.857683973458
13890,savages,-0.153498131076,0.857702367178
6670,article,-0.153415014381,0.857773659527
18291,canal,-0.153239501406,0.857924223146
2769,meaning,-0.153030795837,0.858103295395
8428,commercial,-0.152862144609,0.858248027774
849,european,-0.152124019843,0.858881755755
16384,usefulness,-0.152119067634,0.858886009128
15417,kentucky,-0.152097971081,0.858904128853
9110,poet,-0.152009815286,0.858979849567
13837,politics,-0.15145217457,0.859458985286
4611,mere,-0.149833575296,0.860851231416
14048,progress,-0.14942446373,0.861203487662
4244,ohio,-0.149040787416,0.861533974438
3795,process,-0.148562802798,0.861945872858
16826,interested,-0.14794321073,0.862480093166
1396,printing,-0.147754617946,0.862642766028
4928,reign,-0.14772029403,0.862672375813
2118,world,-0.1475389141,0.86282886146
850,fairly,-0.14750017159,0.862862290263
7846,conditions,-0.147123656083,0.863187232465
12539,sold,-0.146862762537,0.863412461822
13430,later,-0.14660501552,0.863635032491
12877,century,-0.146451537317,0.863767591816
3802,high,-0.146299009691,0.863899350284
4524,wholly,-0.146075110965,0.864092797904
12460,beginning,-0.145800975192,0.864329709122
1532,nation,-0.145443283657,0.864638927841
5031,order,-0.14503071679,0.864995722811
5159,admits,-0.144858989652,0.865144278806
3905,ship,-0.144409637822,0.865533120327
19394,aims,-0.144301910767,0.865626366684
9067,career,-0.144025775897,0.865865429314
7054,native,-0.143922674128,0.865954706173
6312,january,-0.143498831855,0.866321812176
3713,involved,-0.143424651666,0.866386078476
6902,critic,-0.142973882873,0.866776706317
