,word,coefficient
21002,volume,-0.50759765195
5775,dr,-0.461273624034
19488,prof,-0.45754845981
6235,war,-0.44589065939
6022,tho,-0.390012444789
8782,russian,-0.342092057337
13527,thomas,-0.329272675395
9673,george,-0.326565711587
7868,history,-0.32170565312
19214,political,-0.311065808224
6357,napoleon,-0.308174107792
9660,state,-0.302533360246
1807,russia,-0.297613815149
10203,captain,-0.29415207206
4798,government,-0.290210177476
2789,states,-0.289132219758
15649,army,-0.287075533223
15381,yacht,-0.272054459152
5050,says,-0.253840088088
5361,law,-0.253192944747
9601,years,-0.252330808045
10065,north,-0.248424481275
3420,vol,-0.248258089847
8673,economic,-0.246911324891
21101,volumes,-0.244474144942
20216,g,-0.239797540414
5460,l,-0.239083621369
396,series,-0.238519041698
11185,facts,-0.238184057241
4773,paul,-0.237797923694
14520,united,-0.237609411459
4547,edition,-0.236468126792
5251,indians,-0.236065835856
2338,power,-0.231849662649
4886,r,-0.23112391445
5629,powers,-0.226841043847
8322,famous,-0.226723839929
4523,h,-0.226103928866
789,adventures,-0.225922131592
3007,major,-0.22416514668
3926,indian,-0.223646019567
4074,purpose,-0.220606127744
12582,slavery,-0.218749509638
10079,ho,-0.217753686409
14459,island,-0.216928864354
1864,remarks,-0.216596959497
2418,complete,-0.216464327912
8101,american,-0.215482621833
4081,animal,-0.214261287645
20703,charles,-0.213273921305
13890,education,-0.212810808194
8373,revolution,-0.212471944811
13726,ireland,-0.210348221527
8824,novelist,-0.209587193889
14118,expedition,-0.209153758675
18978,value,-0.207858737536
19620,called,-0.207797157748
17500,miles,-0.207409598837
10615,navy,-0.207294471763
15383,important,-0.206050249822
11393,detective,-0.205800124864
14920,notes,-0.205564607339
6077,capt,-0.203675595528
3574,methods,-0.20097016971
4364,roberts,-0.20029275056
5317,india,-0.198390121838
14889,text,-0.197912414142
12954,public,-0.196849742178
3759,points,-0.195833689362
13138,advice,-0.195700834464
2401,philadelphia,-0.194811661788
11733,making,-0.194539291572
20701,present,-0.193695633768
7653,douglas,-0.191002034985
17344,constitution,-0.190189873159
20498,europe,-0.187419598334
19443,arthur,-0.187400802979
10286,force,-0.18735988404
10292,japanese,-0.186901371011
2865,paper,-0.186584040112
3020,general,-0.186384133015
11929,canada,-0.186088815959
3956,great,-0.185915236133
10954,prince,-0.185454438978
30,adventure,-0.185243810612
6224,fight,-0.185147702446
770,cards,-0.185126914529
2031,mans,-0.185029891047
15678,existence,-0.183123512708
3015,number,-0.181229180541
3,writings,-0.18121225384
9,woods,-0.180030868954
620,professor,-0.176707520532
19705,narrative,-0.176607906213
1863,printed,-0.176085058635
6594,incidents,-0.175840709711
10042,mississippi,-0.175749002654
114,hero,-0.175414721452
1772,williams,-0.175133434699
14910,knowledge,-0.174988489756
4768,trust,-0.174611700095
12151,shop,-0.174277598843
820,union,-0.174226571661
12880,subject,-0.173232741894
11091,mexico,-0.172198336873
9159,poetry,-0.17052925835
3046,essays,-0.169901936124
14686,early,-0.169640230446
3969,makes,-0.169222260393
3270,sea,-0.169198680339
11654,useful,-0.169150634864
5287,word,-0.169043191486
9499,lectures,-0.168532623753
12497,money,-0.168249899666
7792,advertising,-0.168208984517
1523,divided,-0.167972593817
6657,islands,-0.167603744566
18809,success,-0.16734907442
9782,london,-0.167085410383
372,later,-0.166912064091
16359,politics,-0.166177589426
8860,william,-0.166128882382
16106,serve,-0.165080647822
16145,lawyer,-0.164433717428
11996,question,-0.164355173252
13590,nicholas,-0.164308625426
3811,essay,-0.164002478342
9754,policy,-0.163050005834
6236,cloth,-0.162886798062
2569,th,-0.162695459616
11360,editor,-0.162326481862
3967,opinion,-0.1614833809
1868,pages,-0.161028757883
15191,novels,-0.159527522378
12005,long,-0.159323632843
5586,john,-0.158541613432
3250,river,-0.15827336314
8390,conditions,-0.157984568022
8635,game,-0.157915340177
7,prices,-0.157461542668
921,vivien,-0.156802725995
2951,really,-0.156776019721
2268,world,-0.156443957313
5451,bank,-0.15568982916
9485,battles,-0.155049374255
17746,officer,-0.154916319065
7464,greater,-0.154655405709
10866,judges,-0.153897469017
3935,led,-0.153398989663
9929,necessary,-0.153191738189
1406,studies,-0.153006562852
2936,england,-0.15273850062
7981,fool,-0.152700354637
11824,tall,-0.151874354939
19167,treated,-0.151598099011
9135,control,-0.151173038819
17420,thirty,-0.151131841119
17610,mister,-0.150845540005
9264,university,-0.150511223241
3140,plan,-0.150448524927
16662,cooper,-0.149767572361
551,nations,-0.149616980215
2924,events,-0.149178715245
5152,czar,-0.149086951744
4169,ship,-0.149082242813
14314,chicago,-0.148866246713
19342,lower,-0.148515415994
19561,canal,-0.147984151558
5656,strength,-0.147856143244
19363,dark,-0.147209676168
1488,printing,-0.147083525641
6546,prove,-0.146789005244
15008,progress,-0.146534017649
9015,commercial,-0.146348041385
7549,native,-0.145282980055
9054,win,-0.144750224682
11287,shakespeare,-0.14474552786
8601,officers,-0.144704860614
4976,marquis,-0.144602468042
4456,fact,-0.144291936446
2962,meaning,-0.144174209284
14841,savages,-0.144088318405
4050,process,-0.144012805246
1001,birth,-0.143932139374
1802,future,-0.143435249146
6902,national,-0.143340512491
4930,mere,-0.143327165662
20873,empire,-0.142831906966
10971,ignorance,-0.142651848774
6855,british,-0.142608883267
17503,usefulness,-0.14250777551
8489,governor,-0.14248675659
14573,le,-0.142388305996
5272,reign,-0.142307832473
999,possibly,-0.141923518947
16816,pelham,-0.141875473271
3960,involved,-0.141100900561
9298,gallant,-0.141027288373
16459,kentucky,-0.140300530798
1494,webster,-0.140216528788
912,european,-0.140193332466
507,reuben,-0.139936259939
16477,robert,-0.139814786843
13339,beginning,-0.139728296313
20716,flower,-0.139625618588
8121,lawson,-0.139574266146
12936,material,-0.139382339389
4533,ohio,-0.139115990342
18792,effect,-0.138891295044
13779,century,-0.138504710144
1630,nation,-0.138369356617
3169,golf,-0.138257838729
8345,x,-0.138064055897
8377,pictures,-0.138006590556
18819,raleigh,-0.137956767447
12652,practical,-0.137264862852
9744,poet,-0.137060358695
3913,index,-0.136443697584
913,fairly,-0.136182602861
2223,rest,-0.136161547369
7139,article,-0.13588565115
8632,showing,-0.135705861381
16773,head,-0.13564006144
17201,biography,-0.135550884272
